,MapFromOne,Mod6,color,distanceFromOne
274,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1]",4,,91
283,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 0]",1,green,60
310,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1]",4,,86
319,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0]",1,green,55
322,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1]",4,,99
325,"[4, 5, 1, 1, 3, 4, 0]",1,green,24
334,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",4,,68
350,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1]",2,,81
364,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2]",4,,94
377,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 0]",5,green,63
395,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 0]",5,green,76
412,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2]",4,,89
425,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 0]",5,green,58
433,"[4, 5, 1, 1, 3, 4, 2, 0]",1,green,27
445,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 0]",1,green,71
466,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1]",4,,84
479,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 0]",5,green,53
484,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2]",4,,97
488,"[4, 5, 1, 1, 3, 3]",2,,22
502,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]",4,,66
526,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1]",4,,79
566,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1]",2,,61
577,"[4, 5, 1, 1, 3, 4, 2, 2, 0]",1,green,30
593,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 0]",5,green,74
638,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1]",2,,56
650,"[4, 5, 1, 1, 3, 4, 1]",2,,25
668,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2]",2,,69
700,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2]",4,,82
719,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 0]",5,green,51
754,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1]",4,,64
790,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1]",4,,77
850,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1]",4,,59
866,"[4, 5, 1, 1, 3, 4, 2, 1]",2,,28
890,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1]",2,,72
911,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 0]",5,green,41
958,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1]",4,,54
976,"[4, 5, 1, 1, 3, 4]",4,,23
1079,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 0]",5,green,49
1132,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2]",4,,62
1154,"[4, 5, 1, 1, 3, 4, 2, 2, 1]",2,,31
1186,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1]",4,,75
1276,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2]",4,,57
1300,"[4, 5, 1, 1, 3, 4, 2]",4,,26
1336,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3]",4,,70
1367,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 0]",5,green,39
1438,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1]",4,,52
1619,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 0]",5,green,47
1732,"[4, 5, 1, 1, 3, 4, 2, 2]",4,,29
1780,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2]",4,,73
1822,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 1]",4,,42
2051,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 0]",5,green,37
2158,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1]",4,,50
2308,"[4, 5, 1, 1, 3, 4, 2, 2, 2]",4,,32
2429,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 0]",5,green,45
2734,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1]",4,,40
3077,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 0]",5,green,35
3238,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1]",4,,48
3644,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 2]",2,,43
4102,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1]",4,,38
4616,"[4, 5, 1, 1, 3, 4, 2, 2, 3]",2,,33
4858,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1]",4,,46
6154,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1]",4,,36
7288,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3]",4,,44
9232,"[4, 5, 1, 1, 3, 4, 2, 2, 4]",4,,34
